,Unnamed: 0,OverallRating,ReviewHeader,Name,Datetime,VerifiedReview,ReviewBody,TypeOfTraveller,SeatType,Route,DateFlown,SeatComfort,CabinStaffService,GroundService,ValueForMoney,Recommended,Aircraft,Food&Beverages,InflightEntertainment,Wifi&Connectivity
961,961,8.0,"""Much improved, well done""",Martin Griffiths,18th February 2019,True,"Gatwick to St Lucia. Flew BA new revamped business class today and a huge improvement on the old set up. Well lit cabin, improved seating comfort, better and operational entertainment system (always hit or miss before) and decent food. Cabin crew worked hard and were pleasant. I have observed along with everyone else the falling standards at BA and have moved most of my travel to rival airlines but on the basis of today’s experience I will consider them in the future. Much improved, well done.",Business,Business Class,Gatwick to St Lucia,February 2019,4.0,4.0,3.0,3.0,yes,Boeing 777,4.0,4.0,
2252,2252,1.0,"""no systems in place to cope""",Graham Pierce,26th May 2016,False,"Milan Malpensa to London Heathrow with British Airways. 1.25 hrs standing in queue to check in due to ""new system installed last month running slow"". So why no extra staff to cope with this? Plane then cancelled 30 mins after time, due to technical issue. No systems in place to cope with the size of what then needed to be done. Everyone had to re-claim baggage, exit via passport control and queue at service desk to re-book. Unbelievably, desk staffed by only one person. People with onward connections were being given priority so their journey could be re-planned but each of these took 10 to 15 mins to process, with a line of 100+ people waiting behind. Thus by the time one person had been served another had been prioritised to front of queue, meaning that the queue was effectively not moving. Over 3 hours later a third of the queue was still standing in line waiting to be processed. It was only the self-discipline of those in the queue that prevented this descending into total chaos. Why not two terminals so the onward travellers could be dealt with separately from those with simple needs? Why no seating and no queue management system? Pathetic response to what must be a an occasional problem. Then had to re-present to re-check-in again via their slow 'new system' and go again through security (mercifully top class) and passport control for evening flight. Those who'd queued longest stayed in hotel to travel next day. No meal vouchers offered. No compensation details offered, tho given when asked for. ",Couple Leisure,Economy Class,MXP to LHR,May 2016,4.0,5.0,1.0,3.0,no,,3.0,,
3016,3016,9.0,British Airways customer review,J Rodder,30th April 2015,False,Heathrow to Bilbao. This is one of BA's new routes (although they used to fly the route years ago on a B757) and we got our return flights for a bargain Â£74. BA's hand luggage only fares to Europe offer very good value and I wonder when they will consider this pricing tier for long haul routes! The A319 flight left from Heathrow Terminal 1 which is closing in June but now looks and feels like a ghost town. There were 3 shops open on the day of our departure and most of it is boarded up. As for the flight we had the usual BA chaotic boarding process but overall an excellent flight even if the new seats are uncomfortable and certainly similar to Ryanair with hardly any space. I appreciate BA's offering of sandwiches on their short haul flights but do wonder whether passengers really need this service nowadays.,,Economy Class,,,3.0,4.0,,5.0,yes,,4.0,1.0,
1977,1977,1.0,"""nightmare experience""",R Hasinghat,25th November 2016,False,"London Heathrow to Delhi return. I thought Air India was the worst until I traveled by British Airways via Premium Economy.  Prices are not at all comparable thus I assumed they must be charging more for nicer services but not all. British Airways staff at Delhi Airport were rude and unprofessional. I have having plenty of weight limit left but even a few mm difference in cabin baggage they did not allowed as it was little hard to put in measuring case because of handle. Another small camera pouch they consider as a separate bag. I was forced to give my cabin bag to my father in law and left with a normal handy bag with all stuff in it. Coming to the aircraft, food and staff - equally poor. Food was horrific, seats were torn, headphone socket not working, food tray was broken (I was forced to keep serving tray on broken food tray giving support by thighs) , tv screen was not at all visible because of too many scratches. Staff was not able to help at all. Nightmare experience.",Business,Premium Economy,LHR to DEL,August 2016,1.0,1.0,1.0,1.0,no,,1.0,1.0,1.0
1487,1487,4.0,"""get your act together""",Rohith Jayawardene,2nd September 2017,False,"London to Milan. Having read about BA's cut backs on service, I approached my flight with slight trepidation. I was not too disappointed though. The flights were smooth and left on time, seating fairly comfortable, consider is was a 80 minute flight. Pre-board and on board announcements were efficient and informative. The downside however, was the in flight food and drinks service which was in disarray. Although BA on European routes have also opted for charging for virtually everything that low cost carriers do, I still expected some efficiency. It was tediously slow, with the attendants pacing up and down the isles to get an item not in the trolley. The glossy M&S menu looked good, but too laborious to get some food and pay for it. With some families split up, paying for items took longer, with some getting impatient and noisy. By the time the trolley reached the back of the aircraft, the descent had already begun. It is a shame that our national carrier while giving the illusion of a quality airline, is anything but. Come on BA, get your act together, or at least like a quote I once read, ""we are like British Rail love, we may be late, but we're getting there"".",Business,Economy Class,London to Milan,August 2017,3.0,1.0,3.0,2.0,yes,A319,1.0,,
2805,2805,7.0,British Airways customer review,Claudia Stanzani,9th August 2015,False,"Bologna - London was in economy class, they gave us a sandwich, flight attendants not super polite and not unpolite -  doing their job. London to Montreal I was in businness class and liked the seats. One flight attendant was Italian and she was informed that me and my collegue are Italian, she gave us a warm welcome and took good care of us during the flight. The amenities weren't amazing - just 1 small lotion, sleeping mask, socks and 1 pen. The food wasn't what you expect from a businness class, it looked like the same as they serve in economy class.",Business,Business Class,Bologna to Montreal via London,September 2014,5.0,5.0,4.0,4.0,yes,,2.0,5.0,
2791,2791,4.0,British Airways customer review,K Ballantine,17th August 2015,False,"Customer service at its worst, rude and impatient staff at the baggage drop and only one person to help at the check in machines. Usually I would recommend flying British Airways but after today's appaling service I will think twice.",Couple Leisure,Economy Class,Edinburgh to London City,August 2015,4.0,3.0,1.0,3.0,no,,4.0,,
2468,2468,3.0,"""another shabby experience""",E Thomson,6th January 2016,False,"British Airways flight from London Heathrow to Glasgow. Shabby cabin, lacklustre cabin crew, flight deck crew whose announcements were mainly less than informative. A crew which appeared to be going through the motions with little enthusiasm and as little engagement with passengers as possible. Some time after the cabin crew had closed all of them, the overhead locker above my seat fell open before the plane even moved off stand at LHR. On descent into GLA it opened again and hung open for several minutes and I was tempted to unclip and close it. I made the passenger across the aisle aware in case the bags fell out on top of him. Eventually, the cabin crew member whose jump seat faced up that aisle got up and closed it. We should have been sitting upfront given our ticket class (part of a longer trip), but, after service issues with BA and a long journey prior to this flight, we couldn't be bothered pointing that out. Just another shabby experience to add to the other disappointments with regard to service and lounge provided by BA on a long return trip involving two other airlines, who were streets ahead in all ways.",Couple Leisure,Economy Class,LHR to GLA,January 2016,3.0,3.0,2.0,1.0,no,Boeing 767,2.0,,
2132,2132,8.0,"""the best thing was the crew""",H Ballner ,31st August 2016,False,"I wanted to fly BA's Boeing 787 to Shanghai. The ground handling at Terminal 5 was very efficient. A little surprised that we had to take a bus to the aircraft and walk up the stairs, but the boarding process was swift and completed 10 mins before schedule. The seats were a disappointment, they felt slightly harder and more narrow than the seats on older Emirates 777/A380, CX 777 or Lufthansa A380. Screens were a bit smaller, legroom was about the same. BA doesn't spoil it's economy passengers here. The Boeing 787 is quite silent, but the A380 is even a bit more silent during the flight. However, this is where the criticism ends. The plane was spotless, food was excellent. The best thing was the crew -  smiling and helpful, and professional.  Overall the high standards of the crew would be my reason to prefer BA over the competitors.",Business,Economy Class,LHR to PVG,August 2016,2.0,5.0,5.0,5.0,yes,Boeing 787-900,4.0,3.0,
544,544,9.0,"""Fantastic flight down to Heathrow""",Michael Clark,15th May 2021,True,Fantastic flight down to Heathrow. Crew doing their best to keep everyone happy in challenging times. Nice to see they have introduced a free snack and water. It’s a start.,Solo Leisure,Economy Class,Aberdeen to London Heathrow,May 2021,4.0,5.0,4.0,4.0,yes,A321NEO,4.0,3.0,5.0
