,text,label
0,"4 Hours before takeoff we received a Mail stating a cryptic message that there are disruptions to be expected as there is a limit on how many planes can leave at the same time. So did the capacity of the Heathrow Airport really hit British Airways by surprise, 4h before departure? Anyhow - we took the one hour delay so what - but then we have been forced to check in our Hand luggage. I travel only with hand luggage to avoid waiting for the ultra slow processing of the checked in luggage. Overall 2h later at home than planed, with really no reason, just due to incompetent people. Service level far worse then Ryanair and triple the price. Really never again. Thanks for nothing.",Flights and Departures
1,"I recently had a delay on British Airways from BRU to LHR that was due to staff shortages. They announced that there was a 2 hour holding delay but they would board us immediately in hopes of clearing the gate and leaving early. We had to wait the full 2 hours inside the airplane. The plane was old, dirty, had no power at the seats. The staff provided a small bag of pretzels and 250ml of water to the passengers for 2 hour delay and 2 hour flight. There were no options to purchase food or drink. There were no entertainment options available. I am a OneWorld emerald elite member but they do not upgrade members based on status. First class lounges at Heathrow are overcrowded, understaffed and poorly equipped. The help desk is completely unhelpful when an error arises with delays and cancellations - even when having the top status. The Avios points system has been devalued to near worthlessness and requires fees to book reward that nearly equal the price of the revenue ticket. British has lost its way in recent years and has a moved from a world-class airline to a budget airline with much worse service and timeliness than Ryanair or EasyJet.",Flights and Departures
2,"Boarded on time, but it took ages to get to the runway due to congestion. Flight was smooth and quick. Snack and drinks were good for a short flight. Landed only about ten minutes late. One bag of three left in London, forms quickly filled in, and the bag was delivered the next morning.",Entertainment and Food
3,"5 days before the flight, we were advised by BA that it had been cancelled and asked us to rebook. There were flights 1 hour before and 1 hour after our original flight but they made us take one 3 hours earlier. Our original ticket (and the return flight a week later) included a checked bag. When we arrive at Heathrow to check in we are told our ticket doesn't included a bag and we will have to pay 75 pounds each to take them. We explained that the original ticket had the bags and when they checked the system they confirmed that it did- but not this one! They would make no effort to sort it out and just told us to pay up or they would remove us from the flight. So we had no choice but to pay up, thinking it should be pretty easy to get a refund. 15 months and 10 emails later we have still not seen a penny. Every time I ask where my refund is and state how long we have been waiting I get an inane email saying some departments take longer than others to respond!  Absolutely hopeless airline to stuff up the booking in the first place and even worse customer service to not even attempt to solve the problem at check in even when they could see the mistake THEY had made in their system, compounded by being be unable to investigate a very simple claim, and refund me 150 pounds in 15 months.",Bookings and Refunds
4,"We traveled to Lisbon for our dream vacation, a cruise to Portugal and Spain. Our friends did not EVER get their luggage. It was a two week cruise. Two weeks without a change of clothes or her CPAP machine. Contacting customer service was a nightmare. We never talked to a real person. Very little effort was put into getting them their bags. In one port we were on the ship and the bags were at the airport. The airlines did not deliver the bags nor did they tell our friends that they needed to go get them. The airline couldn’t be bothered to take the bags from the airport to the ship. BA says it is their policy to get you your bags within 72 hours. That is a joke! It’s been over two weeks and they still don’t have them. They are back home in the US and last they heard the bags were in Lisbon! If your have a choice, do not fly British Airways. Customer Service is non existent!",Cabin Comfort and Baggage
5,"Booked a flight from Bucharest to Manchester with a 2h 45’ layover at Heathrow. Flight was delayed from Bucharest because of ATC strike. Arrived at Heathrow 40 minutes later than scheduled and still had enough time to catch my connecting flight. Unfortunately we were stranded in the plane and waited a very long time to disembark the plane due to lack of staff or slot shortage (it’s a common problem with BA at Heathrow). I missed my connecting flight because of their delays and they told me I had to wait all night in a freezing airport for the first flight the next day. There was just a shameful 10£ food voucher which is a joke considering the ridiculous prices at LHR. No accommodation offered and had to sleep in a very cold airport. I asked for compensation and they sent me a long text with the same lame excuses that they are sorry, but they will not compensate anything.  I can’t imagine a worst airline than BA regarding customer care. It is not about money here but rather than the way they treat customers. It is the last time in my lifetime that I will be flying this joke of an airline.",Flights and Departures
6,"Booked online months ago and the only hitch was replacement aircraft meaning chosen seats were different. I was informed of this prior to departure so could amend. Bag drop at MAN T3 wasn't smooth but I suspect that was MAN fault. Shuttle boarding was slow and delayed meaning a rush at LHR T5. The flight to CPT was full but we left more or less on time. The cabin was clean and PE was what we expected, sufficient leg and arm room plus a few little perks with drinks. Only complaint is the seats actually recline too far. Staff were very good during the first few hours of service, especially George. Food was quite tasty but one option wasn't loaded. Breakfast was also quite tasty and we landed on time. The fly in the ointment is both our cases arrived late on the carousel and only later did we notice both had been broken into, likely at CPT. All in all a pleasant surprise.",Cabin Comfort and Baggage
7,"Angry, disappointed, and unsatisfied. My route was from London to Atlanta. My suitcase was not boarded, therefore not landed with me. For both comfort and safety reason, a bag always fly with its passenger and that did not happen. Claims and few phone calls were made by desk assistants who answered my questions unprofessionally and miserably. Certainly, I was left with nothing but my backpack which contained not more than few snacks. Neither clothes nor anything else was ever provided as an apology. Meanwhile, I was also told that my bag would have been delivered through the next 24 hours which also did not happen. British Airways is a great airline to fly with but its organization, when it comes to customer service, is poor and uncertain. Still waiting for my bag.",Cabin Comfort and Baggage
8,"As an infrequent flyer, British Airways was always my first choice. With some reassurance and comfort of service, quality, luggage allowance etc. In fact I’ve never flown with the budget airlines. My most recent flight has now changed my view and causes me to reflect on what am I actually getting for my money and is BA what they once were. While the flights were around an hour delayed both ways, the cabin and ground staff service were ok. It is the facilities (or lack of) that I am most disappointed by. The flight was Approx 4 and a half hours and the only thing offered was a half cup of water that was poured out and a bite sized banana slice of cake. In fact on my return journey I wasn’t even offered the water! To top it off BA no longer have a media screen from which you can select something to pass the time away. There wasn’t even the obligatory flight journey. The WiFi was poor. I couldn’t even access the shop. However, for a fee so much more was available. This explains BAs record profit of £1.52bn. So, the question is, what am I paying for? I will now for sure opt for the budget airlines. They are transparent with what they offer and what you have to pay for, which I can decide to choose or not. As BA now stands for Basic Airways I’ll go elsewhere and get basic for cheaper.",Entertainment and Food
9,"A totally unremarkable flight, on time, as comfortable as European configuration goes. No catering due to the storm - effect greatly exaggerated. This was advised by email, and a euro 15 was provided - not easy to use - but lounge made up for this loss.",Entertainment and Food
10,"1. Ground crew in Heathrow left 60 passengers luggage. We had 3 bags. 2. The Heathrow ground crew left 1 of ours behind after the 1st two were received the next day. 3. The Heathrow ground crew lost our 3rd bag 4 times and we were on the phone with them for over 3 hrs over the course of the week! 4. Due to this, we had to spend $500 on health and beauty items for my wife on our cruise. 5. British Airways said they MIGHT reimburse after 3 months. 6. We had to spend $100 in cab fare to Barcelona because the Bacelona ground crew (Iberia) claimed they had delivered it to us. 7. Heathrow ground crew made us 15 minutes late arriving back into Heathrow after our cruise. We actually landed 10 minutes early, but those incompetent people still were not ready for us. 8. The Heathrow ground crew caused us to leave 45 minutes late even though ALL passengers were boarded and ready 15 minutes before the departure time. This will probably mean we will miss our connection in Anchorage. BA clearly does not care or know how to operate a ground base...shameful. BA is a joke and should be embarrassed they can't operate like a normal airline. They do not grasp the concept that even a small hiccup can cause mass ripples of chaos to other people.",Cabin Comfort and Baggage
11,First time flying British Airways and I would not hesitate to fly economy with them again. Flight attendants were pleasant and efficient. Excellent special meal (low sodium). Comfortable space in economy. One of my better flights.,Boarding and Crew Experience
12,"Absolutely the worst experience ever.  Flew into Heathrow, no problem. Waited for 5 hours, three extra hours, for our connection to Porto then the cancelled the flight. Scrambled for a hotel and a new flight the next day. They routed us through Madrid the next morning. That flight was 1.5 hours late so we missed our connection to Porto. Because we missed the connection (their fault), they cancelled our return flights. After two hours on the phone with customer service from the Madrid airport, they booked us a new return flight, then they made is pay $ 1300 to fly from Madrid to Porto. Then, for no reason they cancelled our return flight again! After hours, and hours and hours with customer service, we finally got a return flight five days after our original return flight. Meanwhile, they lost my wife's luggage. We finally got 15 DAYS after they lost it. Return flight? More problems with our reservations. At no point was British Airways helpful. They left the onus on us to fix their mistakes at every turn. They completely ruined a three week vacation and they don't care. They wouldn't even let us speak to a supervisor or manager. Awful, bordering on passenger abuse.",Flights and Departures
13,"Flew back from Malta after scattering our son's ashes at his favourite spots. When we boarded the aircraft for our return flight my wife became upset. A member of the cabin crew noticed this and immediately spoke to my wife and tried to reassure her. Her name is Tracey, an exceptional crew member. I noticed she spoke to other travellers in a courteous manner and was friendly. Each time she passed my wife she asked how she was and would she like anything. This kindness made a difficult time easier for us both. Aircraft seats were comfortable and service good for a 2hrs. 45mins. flight. Thank you B.A.",Boarding and Crew Experience
14,"Cabin luggage had to go to cargo, even when I said I carried medicines. There was no time to get them out the hand luggage. The economy seats with Virgin Atlantic, KLM and even Ryanair have more space. Luckily it was a short flight.",Cabin Comfort and Baggage
15,"I have been using BA for a while now and on average I cannot say that I am pretty satisfied. BA somehow experience cancellations and delays most of the time. Second, the in-flight service is usually weak. Food portions are small and cabin crew is not very helpful especially when it comes to drink requests. The screens in the A380s should be renewed as they are full of scratches and same size as A321s. Especially in longer flights, the entertainment system becomes more important. There is also no welcome package except for pillow and small blanket. I would expect more from BA. If you are flying from the US to anywhere except the UK, I would recommend considering other airlines. But if you are flying to/from UK directly, then BA could be one of your choices.",Flights and Departures
16,"I flew from Istanbul to London in Business class. For more than half of the flight a child was watching an iPad very loud with no phones plugged in - it was three rows in front of me and disrupted my flight as I could hear it above my headphones. Staff thought this was fine and refused to tell the mom to turn it down. Why is this acceptable on a flight especially in business class? Has this airline turned into a zoo? Are staff given no training in customer service? Why is a child allowed to disrupt other passengers? When I told the staff she just laughed at me. BA customer service is a disgrace. I've not even mentioned the food but it was bad, really bad.",Entertainment and Food
17,"I have flow on BA several times since the airline started non-stop service between Austin, TX and London Heathrow. Every year the service gets worse. I brought a tape measure with me to see how far apart the seats are in the economy section. 25½ inches. BA has removed bathrooms in order to squeeze a few more rows of seats onto the aircraft. Thankfully I'm not a big person and was able to squeeze into my seat without being too uncomfortable. When BA first started flying out of Austin, the food was great. Now, when I arrive at Heathrow, I get real food and take it on the plane with me. I don't know where or who makes BA's food, but it is not eatable. If BA did not have a direct flight from my hometown to London, I would fly with a different airline. When we checked into Heathrow, the line was extremely long and only one person was checking people in. It took nearly an hour to get to the counter. I understand airlines are making record profits and need to make up lost revenue from the pandemic, but I think BA has gone too far and has little concern for customer service in pursuit of profits.",Cabin Comfort and Baggage
18,"The flight departed over an hour late due to a late inbound plane. The plane was very full, and half of the economy class passengers were forced to check in their larger cabin baggage at the gate when boarding, making a complete mockery of the hand luggage allowance advertised. Lots of passengers on board were stressed out about missing onwards connections due to the delays (and some did miss them as their next gates had closed by the time we disembarked at Heathrow). Onboard service was ok but minimal  - BA gave up being a full-service airline some time ago. More concerning is that trying to get hold of customers services to make changes to bookings and deal with problems was non-existent. The airline seems to make it deliberately hard for its customers to contact it.",Flights and Departures
19,"Our BA flight from Porto to London Heathrow T5 was operated by Finnair using a Finnair plane and crew. This had been advised by BA shortly after booking, with the option to change flights if we preferred. Although the business class cabin was of a similar layout to BA Club Europe, i.e. with the middle seat kept free, my wife and I felt the seats were more comfortable and the legroom slightly better. Service was good on board and the meal was very tasty (we chose the beef cheeks). All was good until we landed at Heathrow! Although we passed through passport control without delay, once we were at the designated baggage reclaim, we just waited and waited! After an hour and ten minutes I went to the BA baggage counter to ask what was going on. They seemed unaware of an issue, but said they would find out! Over the next hour or so various other passengers also requested information and despite various announcements and a list of different excuses it was almost 2½ hours before the bags finally arrived. Frustrating to say the least. I subsequently complained to BA, but after 4 weeks there has been no explanation just the automated message from customer services ‘we are experiencing exceptionally high volumes’. This response says a lot!",Cabin Comfort and Baggage
20,"Flew with BA to Punta Cana. Took the trouble to reserve seats for both outbound and inbound flights. On boarding at Gatwick, realised we had been moved to much less good seats with other people sitting in the seats we had spent a lot of money reserving. Apparently there has been a change of aircraft and a number of passengers had been automatically reallocated seats for no particular reason. The crew said there was nothing they could do (although of course they could just have swapped us with the couple using our seats). We were told to claim a refund on return home. We did this via a complaint form Ns BA offered us £100 in vouchers. We didn't accept this as it was less than the cost of the seats and also naturally we wanted our money back. We eventually got it but not without a fight. Very second rate shoddy airline.",Cabin Comfort and Baggage
21,"They downgraded me from business to premium economy. They took three months to get back to me and offered me 200 pounds or 400 AUD. The difference between business class and premium economy (which I never fly) is $3000 AUD and the difference between economy and business is $6500 AUD. They owe me at least 1500 pounds and to be very fair 3250 pounds. The downgrade was insulting and incredibly painful as I had a recent cancer operation and have a back injury which I have pointed out to them - I need to lie down. The wait for them to get around to me has been numbing. The insult of their offer has been the slap in the face to continue my degradation. The people I have dealt with at the airport have been down to earth, honest hard working people. The actual staff on the plane were warm and friendly - and helpful. The systems under which BA operates are some sort of medieval torture.",Bookings and Refunds
22,"Caught up in the Gatwick cancellation fiasco; at some point between what was smooth check in (unable to do online as part of group travel) and security, the flight was cancelled; (we were denied entry to security and departures as a result). It was at this point that we discovered BA Gatwick are not BA, but a masquerade, who are unable to help and and provide very little assistance unless the 'real BA' provide information, and even though our baggage was now airside, didn't have a clue as to how we could get it back. It is, however, with thanks to a supervisor from Business Class check in, who came to our assistance and help with our predicament- baggage retrieval, information on what to claim and how, and our revised BA flight from LHR the following evening. (Difficult to give a rating for cabin service as we didn't even board the aircraft)",Flights and Departures
